agency_name,year,jyp_cs,sm_cs,yg_cs,result
SM,2018,8.22224391381648,11.843307948187405,7.760163193261772,True
JYP,2018,1.0717830589651178,-9.207871700990987,-0.9648853077481456,True
YG,2018,2.230056013915193,1.1864506289101993,14.925795741609846,True
SM,2019,-2.5410805092141815,-4.961428071019213,2.2152344216572946,False
JYP,2019,-3.5258938942563702,-5.555336357760613,0.5287490703351763,False
YG,2019,-6.24553602579521,1.6540201610684717,-1.8354298406094118,False
SM,2020,-6.775965737879816,-12.561541365567956,-12.988525464748173,False
YG,2020,-8.850483084388976,-11.260995798151889,-21.287345702300932,False
JYP,2020,-7.897989925906244,-5.566956195397703,-0.5085994940920058,False
SM,2021,6.036600330449343,17.440383867652013,16.578403989361142,True
JYP,2021,-0.6844963862680575,-2.921193161206505,-1.4101450430506115,True
YG,2021,-8.850483084388976,-11.260995798151889,-21.287345702300932,False
JYP,2022,-7.835540274707129,-3.277048647921206,-4.340230674597051,False
YG,2022,-6.6164463177413095,-9.416121421608933,-14.586793176244633,False
SM,2022,12.242992854454869,1.9165760739262911,-6.895830875261408,False
